"Protein","Adjusted_linear_model","linear_modeling_pvalue","adjusted_pvalues","fold_change","coefficient","Target","Entrez","Uniprot"
"ODPX_18319.7","~ Study_group + Prednisone + Aspirin",0.000641810522745784,0.999950880216876,-1.42787402105064,2419.54000359839,"ODPX","8050","O00330"
"MRE11_11319.106","~ Study_group + Prednisone + Aspirin",0.000679172054768138,0.999950880216876,-0.311018003476988,265.123903545727,"MRE11","4361","P49959"
"BAG.1_17195.43","~ Study_group + Prednisone + Aspirin",0.000712627961788357,0.999950880216876,-0.714288545842322,546.360696331403,"BAG-1","573","Q99933"
"DUS28_9940.35","~ Study_group + Prednisone + Aspirin",0.000718411964054194,0.999950880216876,-1.4363839168841,2182.14862006319,"DUS28","285193","Q4G0W2"
"GSTK1_13474.40","~ Study_group + Prednisone + Aspirin",0.000722569445954592,0.999950880216876,-1.31052073106335,6159.02075952257,"GSTK1","373156","Q9Y2Q3"
"AGAP2_14291.53","~ Study_group + Prednisone + Aspirin",0.000733015877741832,0.999950880216876,-1.62578450043513,765.518488151659,"AGAP2","116986","Q99490"
"MAPK2_3820.68","~ Study_group + Prednisone + Aspirin",0.000737664043602437,0.999950880216876,-1.16352737983994,3592.06814770932,"MAPK2","9261","P49137"
"KPCT_3817.18","~ Study_group + Prednisone + Aspirin",0.000743981406568372,0.999950880216876,-1.4134789028369,2481.4330002633,"KPCT","5588","Q04759"
"UB2L3_3874.8","~ Study_group + Prednisone + Aspirin",0.000759729972642993,0.999950880216876,-0.538485502607827,787.980897928735,"UB2L3","7332","P68036"
"PRS6A_23665.35","~ Study_group + Prednisone + Aspirin",0.000768932174583987,0.999950880216876,-0.796465994507582,1304.75666298051,"PRS6A","5702","P17980"
"PROSC_20439.14","~ Study_group + Prednisone + Aspirin",0.000769018075260877,0.999950880216876,-0.54857393202712,9953.61203651047,"PROSC","11212","O94903"
"KS6B1_11817.1","~ Study_group + Prednisone + Aspirin",0.000771323661337367,0.999950880216876,-1.23817266999923,1026.50783859926,"KS6B1","6198","P23443"
"TACO1_9257.14","~ Study_group + Prednisone + Methotrexate + Aspirin",0.000772020393626427,0.999950880216876,-1.51727496296665,2657.56650490559,"TACO1","51204","Q9BSH4"
"Cofilin.1_4203.50","~ Study_group + Prednisone + Methotrexate + Aspirin",0.000775230765914431,0.999950880216876,-0.739153580789077,703.333266210316,"Cofilin-1","1072","P23528"
"AGO3_15323.112","~ Study_group + Prednisone + Methotrexate + Aspirin",0.000782588086436057,0.999950880216876,-0.757289820096748,761.642039569184,"AGO3","192669","Q9H9G7"
"X41_4706.17","~ Study_group + Age + Prednisone + Aspirin",0.000799642393689034,0.999950880216876,-0.711479061196617,3889.49515812088,"41","2035","P11171"
"NCOA7_25299.11","~ Study_group + Prednisone + Aspirin",0.00080382890010304,0.999950880216876,-1.03777052399446,2134.20443909075,"NCOA7","135112","Q8NI08"
"RT4I1_18180.58","~ Study_group + Prednisone + Aspirin",0.000817838988686638,0.999950880216876,-1.34055832730624,1401.71201439354,"RT4I1","84816","Q8WWV3"
"PSMG3_12729.12","~ Study_group + Prednisone + Aspirin",0.000837318866031577,0.999950880216876,-0.69501911656197,698.713569685801,"PSMG3","84262","Q9BT73"
"Livin.B_15504.39","~ Study_group + Smoking",0.000839535718148863,0.999950880216876,-0.0104399915875943,-114.375598819978,"Livin B","79444","Q96CA5"
"DEST_22958.6","~ Study_group + Prednisone + Aspirin",0.000845993596861723,0.999950880216876,-1.41482717639452,4936.45500789889,"DEST","11034","P60981"
"SCOT_25043.74","~ Study_group + Prednisone + Aspirin",0.000848835166299917,0.999950880216876,-1.05750519176211,9111.79627163419,"SCOT","5019","P55809"
"HEXI2_14205.6","~ Study_group + Prednisone + Aspirin",0.000851956345574598,0.999950880216876,-0.970322265773362,439.703892575039,"HEXI2","124790","Q96MH2"
"RABE1_24417.22","~ Study_group + Prednisone + Aspirin",0.000856472039081557,0.999950880216876,-1.20702290430396,3059.28229155696,"RABE1","9135","Q15276"
"ERAB_4217.49","~ Study_group + Prednisone + Aspirin",0.000904642714152517,0.999950880216876,-1.58329875360628,8004.18754212743,"ERAB","3028","Q99714"
"ADDB_24468.36","~ Study_group + Prednisone + Aspirin",0.000945158536842902,0.999950880216876,-1.00888575834654,1238.67098086712,"ADDB","119","P35612"
"DJC17_14655.1","~ Study_group + Prednisone + Aspirin",0.00102568322491957,0.999950880216876,-0.722712703641204,301.493647884852,"DJC17","55192","Q9NVM6"
"SNX27_24945.16","~ Study_group + Prednisone + Aspirin",0.0010366040553768,0.999950880216876,-0.812249925480751,1135.44751825522,"SNX27","81609","Q96L92"
"CACP_12637.7","~ Study_group + Prednisone + Aspirin",0.00105337391214649,0.999950880216876,-1.48752041203165,2725.77238011234,"CACP","1384","P43155"
"ARHL2_17332.3","~ Study_group + Prednisone + Aspirin",0.001072111388195,0.999950880216876,-0.466302261238698,3266.10267403897,"ARHL2","54936","Q9NX46"
"ATG4A_21436.56","~ Study_group + Age + Prednisone + Aspirin",0.00107714322497384,0.999950880216876,-0.63599281026795,293.970827236768,"ATG4A","115201","Q8WYN0"
"RAD1_12670.15","~ Study_group",0.00107905176431431,0.999950880216876,-0.282767199117144,72.1476666666668,"RAD1","5810","O60671"
"CHMP6_21160.4","~ Study_group + Prednisone + Methotrexate + Aspirin",0.0011055495897528,0.999950880216876,-0.600965118598366,1291.35543205879,"CHMP6","79643","Q96FZ7"
"HS2ST_21736.60","~ Study_group + Prednisone + Aspirin",0.00112903046952175,0.999950880216876,-0.625664693212499,781.445032999824,"HS2ST","9653","Q7LGA3"
"hnRNP.K_19333.4","~ Study_group + Prednisone + Aspirin",0.00113576113455826,0.999950880216876,-0.470222038179866,4837.28992136213,"hnRNP K","3190","P61978"
"TTC9A_24474.12","~ Study_group + Prednisone + Aspirin",0.00117162438441463,0.999950880216876,-1.63276621215402,1537.74733579077,"TTC9A","23508","Q92623"
"PPM1L_7187.3","~ Study_group + Prednisone + Aspirin",0.001205413297575,0.999950880216876,-0.602929619100135,240.977158680007,"PPM1L","151742","Q5SGD2"
"PTPA_24717.26","~ Study_group + Age + Prednisone + Aspirin",0.00122244895408728,0.999950880216876,-0.609560840018578,5803.1467725245,"PTPA","5524","Q15257"
"CMIP_25100.11","~ Study_group + Prednisone + Aspirin",0.00123140629547857,0.999950880216876,-1.20787368653127,1864.25682201159,"CMIP","80790","Q8IY22"
"JNK2_15604.18","~ Study_group + Prednisone + Aspirin",0.00125114036703607,0.999950880216876,-0.482106861898753,1909.90629568194,"JNK2","5601","P45984"
"TBC13_21163.21","~ Study_group + Prednisone + Aspirin",0.00125478196932415,0.999950880216876,-1.14112179444997,2563.20799991223,"TBC13","54662","Q9NVG8"
"UBP4_21763.46","~ Study_group + Prednisone + Aspirin",0.00125690142034203,0.999950880216876,-1.5089992318543,2926.86342847112,"UBP4","7375","Q13107"
"UCHL5_17405.2","~ Study_group + Prednisone + Aspirin",0.00125742762280064,0.999950880216876,-0.843028812061018,833.864765841672,"UCHL5","51377","Q9Y5K5"
"GGPPS_17786.5","~ Study_group + Prednisone + Aspirin",0.00126112145548836,0.999950880216876,-0.438427854938097,169.089320782868,"GGPPS","9453","O95749"
"STAT3_10354.57","~ Study_group + Prednisone + Methotrexate + Aspirin",0.00131515430945128,0.999950880216876,-1.02052319994785,3519.97264920967,"STAT3","6774","P40763"
"M2.PK_4240.31","~ Study_group + Prednisone + Aspirin",0.00131914852504838,0.999950880216876,-1.48948346236252,24117.3609571704,"M2-PK","5315","P14618"
"KLC1_12656.1","~ Study_group + Prednisone + Aspirin",0.0013196292380538,0.999950880216876,-1.9544407469227,3347.48247323153,"KLC1","3831","Q07866"
"CHAC2_21156.5","~ Study_group + Prednisone + Aspirin",0.00132920398472744,0.999950880216876,-0.629060148277653,339.654085483587,"CHAC2","494143","Q8WUX2"
"SNX8_6925.26","~ Study_group + Prednisone + Aspirin",0.00134492074301195,0.999950880216876,-1.39590925774899,1492.35249131122,"SNX8","29886","Q9Y5X2"
"IFN.g_2989.17","~ Study_group + Prednisone + Aspirin",0.00136658754774176,0.999950880216876,-0.611694215572761,613.651741442866,"IFN-g","3458","P01579"
"OXSR1_20116.30","~ Study_group + Age + Prednisone + Aspirin",0.00138104943949307,0.999950880216876,-0.961253776436305,1449.47846012103,"OXSR1","9943","O95747"
"PLPP_3897.61","~ Study_group + Prednisone + Aspirin",0.00144537369189946,0.999950880216876,-0.918789567619997,2077.20364384764,"PLPP","57026","Q96GD0"
"ALG2_23654.6","~ Study_group + Prednisone + Methotrexate + Aspirin",0.0014465756120664,0.999950880216876,-0.660522799015964,831.732027275228,"ALG2","85365","Q9H553"
"LYNB_3381.24","~ Study_group + Prednisone + Aspirin",0.00145886224748921,0.999950880216876,-1.36159757991362,26239.4144460242,"LYNB","4067","P07948"
"HGS_13644.30","~ Study_group + Prednisone + Aspirin",0.00146343577231474,0.999950880216876,-1.36249046383422,6649.46170659996,"HGS","9146","O14964"
"hnRNP.A.B_4450.26","~ Study_group + Prednisone + Aspirin",0.00148467572592359,0.999950880216876,-0.454586677518219,4771.07378427244,"hnRNP A/B","3182","Q99729"
"LYN_3453.87","~ Study_group + Prednisone + Aspirin",0.00151024135718434,0.999950880216876,-1.55034010349579,10416.3536465684,"LYN","4067","P07948"
"PDC6I_18174.79","~ Study_group + Prednisone + Aspirin",0.00156435797023984,0.999950880216876,-1.07898674730368,1955.72746164648,"PDC6I","10015","Q8WUM4"
"SCO2_16851.50","~ Study_group + Prednisone + Aspirin",0.00161453064896684,0.999950880216876,-1.21807257048063,509.412143584342,"SCO2","9997","O43819"
"p60.Src_15433.4","~ Study_group + Prednisone + Aspirin",0.00161495206821588,0.999950880216876,-1.57885462212911,7226.10114007373,"p60-Src","6714","P12931"
"EIF1B_12701.1","~ Study_group + Prednisone + Aspirin",0.0016377810787844,0.999950880216876,-1.28592075574938,7514.73663770407,"EIF1B","10289","O60739"
"H.ras..WT._18900.37","~ Study_group",0.00166984336920252,0.999950880216876,-0.14570046031554,144.184481481481,"H-ras (WT)","3265","P01112"
"METAP1_3210.1","~ Study_group + Prednisone + Aspirin",0.00167331622823345,0.999950880216876,-1.62615079463343,2829.98877505705,"METAP1","23173","P53582"
"FGF.6_4130.71","~ Study_group + Prednisone + Aspirin",0.00173930939327587,0.999950880216876,-0.587172256629086,207.35732639986,"FGF-6","2251","P10767"
"IFN.lambda.1_4396.54","~ Study_group + Prednisone + Aspirin",0.00176099576938248,0.999950880216876,-0.514052992368891,80.4247874319819,"IFN-lambda 1","282618","Q8IU54"
"GRL1A_23398.1","~ Study_group + Prednisone + Aspirin",0.0017820844913418,0.999950880216876,-1.12220368513101,997.728018079691,"GRL1A","81488","P0CAP2"
"X5NT3_19615.213","~ Study_group + Prednisone + Aspirin",0.00179890827865391,0.999950880216876,-0.986447571096791,544.968178339477,"5NT3","51251","Q9H0P0"
"DNJB6_11606.22","~ Study_group + Prednisone + Aspirin",0.00182618601197654,0.999950880216876,-0.514345872817427,323.580787870809,"DNJB6","10049","O75190"
"AMPK.a2b2g1_5245.40","~ Study_group + Prednisone + Aspirin",0.00184961124952428,0.999950880216876,-1.50795092314694,4499.5005999649,"AMPK a2b2g1","5563|5565|5571","P54646|O43741|P54619"
"CSNK1G2_17436.193","~ Study_group + Prednisone + Aspirin",0.001851111040182,0.999950880216876,-1.37035375450423,955.402737932247,"CSNK1G2","1455","P78368"
"PARK7_19523.215","~ Study_group + Age + Prednisone + Aspirin",0.00186162112803092,0.999950880216876,-0.610498602651769,8166.08983607583,"PARK7","11315","Q99497"
"Activin.AB_4383.97","~ Study_group + Prednisone",0.00188158993841069,0.999950880216876,-0.260696966626836,104.871662037037,"Activin AB","3624|3625","P08476|P09529"
"SBDS_3866.7","~ Study_group + Prednisone + Aspirin",0.00190489771289724,0.999950880216876,-0.697315028032014,1867.68223222749,"SBDS","51119","Q9Y3A5"
"JAM.C_2998.53","~ Study_group + Prednisone + Aspirin",0.00195386918164535,0.999950880216876,-0.544147137903796,938.87785545024,"JAM-C","83700","Q9BX67"
"Peroxiredoxin.3_8358.30","~ Study_group + Prednisone + Aspirin",0.00202718648717487,0.999950880216876,-1.12915935287649,6969.57651772863,"Peroxiredoxin-3","10935","P30048"
"FAF2_9738.7","~ Study_group + Prednisone + Aspirin",0.00206995492610774,0.999950880216876,-1.48485256793716,8339.48023942426,"FAF2","23197","Q96CS3"
"ECHD1_20952.15","~ Study_group + Prednisone + Aspirin",0.00210980071277698,0.999950880216876,-0.80322429416732,6184.42656599965,"ECHD1","55862","Q9NTX5"
"ARF1_19239.5","~ Study_group + Prednisone + Aspirin",0.00213937224167352,0.999950880216876,-0.348024765554177,165.188931016324,"ARF1","375","P84077"
"SYMC_24425.8","~ Study_group + Prednisone + Aspirin",0.0021654095333798,0.999950880216876,-1.35817185607502,12127.8556757943,"SYMC","4141","P56192"
"TRML1.ITIM_11147.17","~ Study_group + Prednisone + Aspirin",0.00218506881770236,0.999950880216876,-0.888078437656789,282.607909250482,"TRML1:ITIM","340205","Q86YW5"
"DUS18_20959.12","~ Study_group + Prednisone",0.00219389855671833,0.999950880216876,-0.391961385485835,145.905921296296,"DUS18","150290","Q8NEJ0"
"CSH_13103.125","~ Study_group",0.00220825121081407,0.999950880216876,-0.233711887077332,169.249666666667,"CSH","1442|1442","P0DML2|P0DML3"
"PCLI1_23291.18","~ Study_group + Prednisone + Aspirin",0.00225421049491344,0.999950880216876,-0.778312073786057,927.727279006494,"PCLI1","55022","Q7Z2X4"
"LIN7B_15612.5","~ Study_group + Prednisone + Aspirin",0.00225631129932048,0.999950880216876,-0.864813916135188,390.39900877655,"LIN7B","64130","Q9HAP6"
"ACADV_19262.219","~ Study_group + Prednisone + Aspirin",0.00226060846503039,0.999950880216876,-1.50391357613207,9981.22738388625,"ACADV","37","P49748"
"DHR11_23317.10","~ Study_group",0.00232625410166032,0.999950880216876,-0.424169575185243,1652.82835185185,"DHR11","79154","Q6UWP2"
"I5P2_12641.3","~ Study_group + Prednisone + Aspirin",0.00234313904331044,0.999950880216876,-1.59655597398739,6958.74684035456,"I5P2","3633","P32019"
"UBE3A_11226.16","~ Study_group + Prednisone + Methotrexate + Aspirin",0.00235482880435993,0.999950880216876,-0.646371729503717,1826.92438540807,"UBE3A","7337","Q05086"
"Carbonyl.reductase.3_14091.42","~ Study_group + Prednisone + Aspirin",0.0023706439314909,0.999950880216876,-0.58593960616523,737.18831060207,"Carbonyl reductase 3","874","O75828"
"KPCI_3379.29","~ Study_group + Prednisone + Aspirin",0.00239775900840299,0.999950880216876,-0.980358456328617,921.978894418114,"KPCI","5584","P41743"
"RCD1_8975.26","~ Study_group + Prednisone + Aspirin",0.00240562991529576,0.999950880216876,-1.31090045842489,3032.78317693523,"RCD1","9125","Q92600"
"ERN1_11229.16","~ Study_group + Prednisone + Aspirin",0.00244531524897265,0.999950880216876,-0.543282524223067,604.828427505706,"ERN1","2081","O75460"
"NKp44_2734.49","~ Study_group + Prednisone",0.00244559814440229,0.999950880216876,-0.23613022478946,73.7949722222224,"NKp44","9436","O95944"
"UB2V1_11626.7","~ Study_group + Age + Prednisone + Aspirin",0.0025002220678672,0.999950880216876,-0.688656774193024,1813.25577867951,"UB2V1","387522","Q13404"
"PTRD1_20386.15","~ Study_group + Prednisone + Aspirin",0.00251724243710355,0.999950880216876,-1.25479414908234,1559.12054160084,"PTRD1","391356","Q6GMV3"
"THIC_17341.89","~ Study_group + Prednisone + Aspirin",0.00259583935915356,0.999950880216876,-1.38408137156098,4502.79360303669,"THIC","39","Q9BWD1"
"PAPS1_14007.22","~ Study_group + Prednisone + Methotrexate + Aspirin",0.00260584034907694,0.999950880216876,-0.835617476892429,769.992844195464,"PAPS1","9061","O43252"
"NTF.2_19219.71","~ Study_group",0.00267848822407443,0.999950880216876,-0.232383802886912,379.884222222222,"NTF-2","10204","P61970"
"KTI12_23526.25","~ Study_group + Prednisone + Aspirin",0.00271502330975969,0.999950880216876,-1.19248949922574,721.44808328945,"KTI12","112970","Q96EK9"
"ULBP.3_2747.3","~ Study_group + Prednisone + Aspirin",0.00277524629632054,0.999950880216876,-0.429042356160436,265.846829998245,"ULBP-3","79465","Q9BZM4"
"BPNT1_17814.8","~ Study_group + Prednisone + Aspirin",0.00278890225749501,0.999950880216876,-0.689296971293509,3565.31577988415,"BPNT1","10380","O95861"
"VPS4A_11476.43","~ Study_group + Prednisone + Aspirin",0.00279889829856156,0.999950880216876,-0.915694212529265,2542.87849183781,"VPS4A","27183","Q9UN37"
"DOK1_16831.7","~ Study_group + Prednisone + Methotrexate + Aspirin",0.00284954048824604,0.999950880216876,-0.987707896319037,1406.17534763043,"DOK1","1796","Q99704"
